Relative extent to which different solutions address different challenges (0 to 9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solution,Urban heat island effect,Flood risk,Biodiversity loss,Social isolation,Food insecurity,Water quality degradation,Noise pollution,Carbon emissions,Mental health issues,Lack of green spaces,Traffic congestion,Waste management,Energy inefficiency,Lack of affordable housing,Urban sprawl,Aging infrastructure,Stormwater management,Urban agriculture limitations,Light pollution,Lack of pedestrian-friendly spaces,Public health issues,Economic inequality,Urban wildlife conflicts,Lack of community spaces,Urban soil degradation,Gentrification,Urban water scarcity,Lack of recreational facilities,Urban unemployment,Lack of urban biodiversity corridors,Urban microclimates,Lack of climate change resilience,Urban food deserts,Lack of accessible public transportation,Urban air circulation issues,Lack of inclusive urban design,Urban ecosystem service deficits,Lack of urban pollinator habitats,Urban wind tunnel effects,Lack of green job opportunities,Urban light penetration issues,Lack of urban environmental education,Urban heat storage,Lack of urban water features,Urban soil sealing,Lack of urban biodiversity awareness,Urban noise amplification,Lack of green corridors for human movement,Urban ecological fragmentation
Urban forests,9,7,8,6,2,5,7,8,7,10,3,1,6,0,4,2,6,3,5,7,7,2,6,8,5,1,4,8,2,8,9,7,2,1,7,5,9,7,6,4,6,8,8,5,4,8,7,8,8
Green roofs,8,6,5,2,3,5,4,6,4,7,1,2,6,0,3,1,7,4,3,1,5,1,4,2,3,0,3,3,1,4,7,6,2,0,5,2,7,5,4,3,4,5,7,2,3,5,3,2,5
Vertical gardens,6,3,5,3,4,3,4,5,5,7,1,1,4,0,2,1,3,5,2,2,4,1,3,3,2,0,2,2,1,3,6,4,3,0,4,3,6,4,3,2,3,5,5,1,2,5,3,2,4
Bioswales,4,8,4,1,0,7,1,2,2,3,1,0,1,0,1,3,9,0,0,2,3,0,2,1,4,0,5,1,0,2,3,5,0,0,2,1,5,3,1,1,1,3,3,6,5,2,1,2,3
Rain gardens,4,7,5,2,1,6,1,2,3,4,1,0,1,0,1,2,8,1,0,2,3,0,3,2,4,0,4,2,0,3,4,4,0,0,2,2,5,4,1,1,1,4,3,5,4,3,1,2,3
Permeable pavements,5,7,2,1,0,6,2,2,1,2,2,0,1,0,2,4,8,0,0,5,3,0,1,2,4,0,4,2,1,1,3,4,0,1,2,4,4,1,1,2,1,2,4,3,6,1,2,3,2
Urban wetlands,7,8,8,4,1,8,5,6,5,8,1,0,2,0,3,1,9,1,1,3,6,1,7,5,5,0,7,6,1,7,7,7,0,0,4,3,9,7,3,2,3,7,6,9,4,7,5,5,8
Pocket parks,5,3,4,7,2,2,4,3,6,8,2,1,1,0,3,1,3,2,2,7,6,2,3,9,3,1,1,8,1,3,5,3,1,1,3,7,6,4,2,2,3,7,4,3,2,5,4,6,4
Community gardens,4,3,4,9,7,2,3,3,7,7,1,2,1,0,2,1,3,8,1,6,6,4,3,10,4,2,1,7,3,3,4,3,6,1,2,8,5,5,1,4,2,9,3,2,3,6,3,5,3
Green corridors,7,6,8,5,2,4,5,6,6,9,4,1,2,0,5,2,6,2,3,8,7,2,7,6,4,1,3,7,1,9,7,6,1,3,6,6,8,7,5,3,4,7,6,4,3,7,5,10,9
Pollinator gardens,3,2,7,3,2,2,2,2,4,6,1,0,1,0,1,1,2,3,1,3,3,1,5,4,3,0,1,3,1,6,3,3,1,0,2,3,7,10,1,2,1,7,2,1,2,8,2,3,6
Urban meadows,5,4,7,4,2,3,3,4,5,7,1,0,2,0,2,1,4,3,2,4,4,1,6,5,4,0,2,5,1,7,5,4,1,0,3,3,8,9,2,2,2,8,4,2,3,8,3,4,7
Green walls,5,2,4,3,2,2,4,3,4,6,1,0,4,0,1,1,2,3,2,3,4,1,3,3,2,0,1,2,1,3,5,3,1,0,3,3,5,4,2,2,3,5,4,1,1,4,4,2,3
Stormwater tree pits,3,6,3,1,0,5,1,2,2,3,1,0,1,0,1,3,7,0,0,2,3,0,2,1,3,0,3,1,0,2,3,3,0,0,2,2,4,2,1,1,1,3,2,3,4,2,1,1,2
Constructed wetlands,6,8,7,3,1,9,4,5,4,7,1,1,1,0,2,2,9,1,1,2,5,1,6,4,5,0,6,5,1,6,6,6,0,0,3,2,8,6,2,2,2,6,5,8,3,6,4,4,7
Daylighted streams,5,7,6,4,1,7,4,3,5,7,1,0,1,0,2,3,8,1,1,5,5,1,5,6,4,0,5,6,1,5,5,5,0,0,3,4,7,5,2,2,2,7,4,8,3,5,4,5,6
Urban orchards,6,4,5,7,8,2,3,4,6,8,1,1,2,0,2,1,3,9,2,5,6,3,4,8,4,1,1,7,2,4,5,4,7,1,3,5,6,6,2,3,3,8,5,2,3,6,3,4,4
Green parking lots,7,5,3,2,1,4,2,3,3,5,2,0,3,0,2,2,6,1,2,4,4,0,2,3,3,0,2,3,1,2,6,4,0,1,3,3,5,3,2,2,3,4,6,2,4,3,2,3,3
Floating gardens,3,2,5,4,5,5,2,2,4,6,0,0,1,0,0,1,2,6,1,1,3,1,4,5,2,0,2,4,1,4,3,2,3,0,1,2,6,5,0,2,1,6,2,6,1,5,2,1,4
Eco-bridges for wildlife,1,1,8,1,0,1,1,1,2,3,2,0,0,0,3,1,1,0,1,1,2,0,8,1,1,0,0,1,0,9,1,2,0,0,1,2,6,6,0,1,1,7,1,0,1,8,1,6,9
Urban food forests,8,6,7,8,9,4,5,6,7,9,2,2,3,0,3,1,5,9,3,6,7,4,5,8,5,1,3,7,3,6,7,5,8,1,5,6,8,7,4,4,4,9,7,3,4,8,5,6,7
Butterfly gardens,3,2,6,4,1,2,2,2,5,6,1,0,1,0,1,1,2,2,1,3,4,1,5,5,3,0,1,4,1,5,3,3,0,0,2,3,6,9,1,2,1,8,2,1,2,8,2,3,5
Green noise barriers,4,2,4,2,0,1,9,2,4,5,3,0,2,0,1,2,2,1,2,4,4,0,3,2,2,0,1,2,1,3,4,2,0,1,3,3,4,3,3,1,2,3,3,1,2,3,8,3,3
Constructed ecosystems,6,6,8,4,3,7,4,5,5,8,1,1,2,0,2,1,7,4,2,4,6,1,7,5,5,0,5,6,1,7,6,6,2,0,4,4,9,8,3,3,3,8,5,6,4,8,4,5,8
Urban greenways,7,5,7,7,2,4,5,5,7,9,5,1,2,0,4,2,5,3,3,9,7,2,6,8,4,1,2,8,1,8,7,5,1,4,5,7,8,6,4,3,4,7,6,3,3,7,5,9,8
Rooftop farms,6,4,4,6,8,3,3,4,6,7,1,2,5,0,2,1,5,9,2,1,5,3,3,6,3,0,2,4,3,3,5,4,7,0,4,3,6,5,3,4,3,7,5,1,2,5,3,1,4
Living seawalls,3,6,7,2,1,7,3,2,3,5,0,1,1,0,0,3,6,1,1,3,4,1,6,3,3,0,4,4,1,5,4,5,0,0,2,2,8,6,1,2,1,6,2,7,2,6,3,2,6
Micro-parks,4,2,3,6,1,1,3,2,5,7,1,1,1,0,2,1,2,1,1,6,5,1,2,8,2,1,1,7,1,2,4,2,1,1,2,6,5,3,1,1,2,6,3,2,1,4,3,4,3
Green tram tracks,5,4,3,2,0,3,4,2,3,5,3,0,1,0,1,3,5,1,1,4,4,0,2,2,3,0,2,2,1,2,4,3,0,3,3,3,4,2,2,1,2,3,4,2,3,2,4,3,2
Urban cliffs,3,1,5,1,0,1,2,1,2,4,0,0,1,0,1,1,1,1,1,1,2,0,4,1,2,0,0,2,0,4,3,2,0,0,2,1,5,4,1,1,2,5,2,1,1,5,2,1,4
Bee highways,2,1,6,2,1,1,1,1,3,4,0,0,0,0,1,0,1,2,0,2,3,0,4,2,2,0,0,2,0,6,2,2,1,0,1,2,6,9,0,1,1,7,1,0,1,8,1,3,6
