Necessary installtion criteria,"(Maybe include criteria that aren't strictly spatial (e.g., cost-effectiveness, maintenance requirements).)",,,,,,,,,,,,,,,,,,,,,,,,,
Nature-based Solution,Soil type,Soil depth,Slope,Available space,Sunlight exposure,Structural support,Water proximity,Climate compatibility,Land ownership,Drainage integration,Traffic patterns,Connectivity,Distance from buildings,Distance from utilities,Wind protection,Surface type,Irrigation access,Pedestrian activity,Zoning regulations,Maintenance access,Air quality,Noise reduction,Biodiversity potential,Maintenance requirements,Cost effectiveness,Public accessibility
1. Urban forests,✓,✓,,✓,✓,,,✓,✓,,,✓,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓
2. Green roofs,,✓,✓,,✓,✓,,✓,,✓,,,,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,
3. Vertical gardens,,,,,✓,✓,✓,,,,,,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓,
4. Bioswales,✓,✓,✓,✓,,,,,,✓,,,✓,✓,,,,,✓,✓,,,✓,✓,✓,
5. Rain gardens,✓,✓,,✓,,,,,,✓,,,✓,✓,,,,,✓,✓,,,✓,✓,✓,✓
6. Permeable pavements,✓,,,,,,,,,✓,✓,,,,,✓,,✓,✓,✓,,,,✓,✓,✓
7. Urban wetlands,✓,✓,,✓,,,✓,,✓,✓,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,✓
8. Pocket parks,,,,✓,,,,,✓,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
9. Community gardens,✓,✓,,✓,✓,,,,✓,,,,,,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
10. Green corridors,,,,✓,,,,,✓,,,✓,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
11. Pollinator gardens,✓,✓,,,✓,,,✓,,,,,,,,,,,✓,✓,✓,,✓,✓,✓,✓
12. Urban meadows,✓,✓,,✓,,,,✓,,,,,,,,,,,✓,✓,✓,,✓,✓,✓,✓
13. Green walls,,,,,✓,✓,✓,,,,,,✓,✓,,,✓,,✓,✓,✓,✓,✓,✓,✓,
14. Stormwater tree pits,✓,✓,,✓,,,,,,✓,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,
15. Constructed wetlands,✓,✓,,✓,,,✓,,✓,✓,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,
16. Daylighted streams,,✓,✓,✓,,,✓,,✓,✓,,,✓,✓,,,,,✓,✓,✓,✓,✓,✓,✓,✓
17. Urban orchards,✓,✓,,✓,✓,,,✓,,,,,,,,,✓,,✓,✓,✓,,✓,✓,✓,✓
18. Green parking lots,✓,,,✓,,,,,,✓,✓,,,,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓
19. Floating gardens,,,,,✓,,✓,,✓,,,,,,,,✓,,✓,✓,✓,,✓,✓,✓,✓
20. Eco-bridges for wildlife,,✓,✓,,,,,,✓,,✓,✓,,,,,,,✓,✓,,,✓,✓,,
21. Urban food forests,✓,✓,,✓,✓,,,✓,✓,,,,✓,✓,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
22. Butterfly gardens,✓,✓,,,✓,,,✓,,,,,,,,,,,✓,✓,✓,,✓,✓,✓,✓
23. Green noise barriers,,,,✓,,✓,,,,,✓,,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,
24. Constructed ecosystems,✓,✓,,✓,,,,✓,✓,,,,,,,,,,✓,✓,✓,,✓,✓,✓,✓
25. Urban greenways,,,✓,✓,,,,,✓,,,✓,,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓
26. Rooftop farms,,✓,,,✓,✓,✓,✓,,,,,,,✓,,✓,,✓,✓,✓,,✓,✓,✓,
27. Living seawalls,,,,,,✓,✓,,✓,,,,✓,,,,,,✓,✓,✓,,✓,✓,✓,
28. Micro-parks,,,,✓,,,,,✓,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
